Emissor,CNPJ,Emissão,Série,Quantidade,Valor,PM,Dono,Competência,% do PL Dono
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,15/12/2021,422,24265217.0,25676724.19,1.0581699800994981,CPTS11,4/2022,0.9199548740494495
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,20/01/2022,423,104382.0,101751007.91,974.794580579027,CPTS11,4/2022,3.6455715679924743
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,16/12/2021,466,68004.0,71446419.63,1050.6208403917417,CPTS11,4/2022,2.5598079211988747
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,16/12/2021,468,57179.0,18609429.4,325.4591615803004,CPTS11,4/2022,0.6667453041566952
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,12/01/2022,472,50801.0,48810385.24,960.8154414283184,CPTS11,4/2022,1.748795970759279
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,26/05/2022,1,30750.0,25635457.7,833.6734211382113,CPTS11,4/2022,0.9184763634602678
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,15/07/2022,1,18232.0,17097304.02,937.7634938569548,CPTS11,4/2022,0.6125683342593183
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,15/08/2022,1,7142.0,7107011.74,995.1010557266873,CPTS11,4/2022,0.25463256300762793
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,19/08/2019,214,11330.0,9528571.68,841.0036787290379,CPTS11,4/2022,0.34139308016399855
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,22/07/2020,236,202143059.0,196906539.79,0.9740949838401327,CPTS11,4/2022,7.054838057674457
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,10/05/2021,340,98089.0,111641522.75,1138.1655715727554,CPTS11,4/2022,3.9999324773743656
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,23/12/2020,346,13974001.0,14186344.12,1.0151955850010315,CPTS11,4/2022,0.5082734199878769
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,14/05/2021,392,56749.0,62916739.63,1108.6845517982697,CPTS11,4/2022,2.2542034900410193
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,23/06/2021,401,21991.0,23991055.5,1090.9488199718066,CPTS11,4/2022,0.8595601322621774
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,21/10/2021,446,4120.0,4214973.74,1023.0518786407767,CPTS11,4/2022,0.1510155893489557
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,01/10/2021,447,271390.0,284550041.08,1048.491252735915,CPTS11,4/2022,10.194960823875917
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,08/12/2021,477,5624.0,5618614.87,999.0424733285918,CPTS11,4/2022,0.20130574666827133
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,08/12/2021,478,5368.0,5363452.45,999.152840909091,CPTS11,4/2022,0.19216369606180522
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,01/08/2019,1,10565.0,7959505.82,753.3843653573119,CPTS11,4/2022,0.28517602634785166
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,17/10/2022,1,105000.0,103501592.94,985.7294565714285,CPTS11,4/2022,3.708292155668284
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,18/11/2022,1,254.0,254979.74,1003.8572440944881,CPTS11,4/2022,0.009135505481973298
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,18/11/2022,2,50508.0,50717521.88,1004.1482909638078,CPTS11,4/2022,1.8171255456093909
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,04/11/2022,2,7500.0,7576065.76,1010.1421013333334,CPTS11,4/2022,0.27143799849458705
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,18/01/2021,99,55920.0,55894980.05,999.5525760014306,CPTS11,4/2022,2.0026253719670555
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,07/07/2021,280,50000.0,53601112.81,1072.0222562000001,CPTS11,4/2022,1.9204398746175841
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,21/06/2021,302,3200.0,2570837.04,803.386575,CPTS11,4/2022,0.09210887057999198
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,30/09/2021,329,96997.0,96662865.36,996.555206449684,CPTS11,4/2022,3.4632717736692604
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,04/08/2021,335,29417.0,32361439.05,1100.0931111262196,CPTS11,4/2022,1.1594572331347572
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,16/09/2021,366,94075.0,101253654.41,1076.3077800690937,CPTS11,4/2022,3.6277522085965916
CRI_17B0048606 - VIRGOSEC,08.769.451/0001-08,1,32,2.0,94517.61,47258.805,CVBI11,04/2022,0.00914136318048114
CRI_17B0048606 - VIRGOSEC,08.769.451/0001-08,1,32,4.0,189035.23,47258.8075,CVBI11,04/2022,0.018282727328122073
CRI_17B0048622 - VIRGOSEC,08.769.451/0001-08,1,33,134.0,1158894.07,8648.463208955225,CVBI11,04/2022,0.11208357449554568
CRI_19I0739560 - VIRGOSEC,08.769.451/0001-08,1,47,15300.0,9303840.56,608.0941542483661,CVBI11,04/2022,0.8998300478847384
CRI_20A0952498_DU - VIRGOSEC,08.769.451/0001-08,4,70,33000.0,25910444.42,785.1649824242425,CVBI11,04/2022,2.505953997470853
CRI_20G0705043 - VIRGOSEC,08.769.451/0001-08,4,69,12138.0,13329704.25,1098.1796218487395,CVBI11,04/2022,1.2891953958384366
CRI_20G0705043 - VIRGOSEC,08.769.451/0001-08,4,69,8167.0,8968832.97,1098.1796216480961,CVBI11,04/2022,0.8674294608575409
